,pid,model,align_condition,lr_sup,lr_unsup,lr,lam_a_cyc,lam_dist,hidden_size,alpha,temp,s,loss
157,_4myopmjcv,euclidean,aligned,,,0.0079432823472428,,,100,0.9628983905601988,1.0,30,52.912871428710936
158,_4myopmjcv,discrete,aligned,,,0.0019952623149688,,,100,0.0739405246694689,1.3,30,53.48238246882423
159,_4pmsig0d8,cycle_and_distribution,aligned,,,0.0630957344480193,0.9748422290640908,0.0022918269494187,100,0.7000625145657778,0.2,30,40.76538618383108
160,_4pmsig0d8,euclidean,aligned,,,0.0630957344480193,,,100,0.9880274256972226,0.5,30,43.283166976324665
161,_4pmsig0d8,discrete,aligned,,,0.001,,,100,0.8434002409421153,1.2000000000000002,30,49.99396316510426
162,_4t8ds86iq,cycle_and_distribution,misaligned,,,0.251188643150958,0.7707807446704333,0.0048840863151329,100,0.7108299107322681,0.6000000000000001,30,48.92280123512906
163,_4t8ds86iq,euclidean,misaligned,,,0.251188643150958,,,100,0.7893752981605453,1.1,30,49.49805540473962
164,_4t8ds86iq,discrete,misaligned,,,0.0019952623149688,,,100,0.8237424492319808,1.1,30,52.98147574718784
165,_4ue84r13q,cycle_and_distribution,aligned,,,0.251188643150958,1.3731088076347198,0.0077640966588992,100,0.7611570586600308,0.2,30,19.20730315210226
166,_4ue84r13q,euclidean,aligned,,,0.0039810717055349,,,100,0.990465879706732,0.2,30,34.705440481094136
167,_4ue84r13q,discrete,aligned,,,0.0039810717055349,,,100,0.5522754763949467,1.1,30,52.443472907442974
168,_4v4rwbe4y,cycle_and_distribution,misaligned,,,0.1258925411794167,1.789686676540542,0.0066266290991268,100,0.9782463064064058,0.4,30,43.44372710203297
169,_4v4rwbe4y,euclidean,misaligned,,,0.0630957344480193,,,100,0.986529176135396,1.3,30,51.38907342793808
170,_4v4rwbe4y,discrete,misaligned,,,0.001,,,100,0.98848713776879,1.4,30,52.308218500487776
171,_4x6d0bc1y,cycle_and_distribution,misaligned,,,0.251188643150958,1.4688019425572012,0.0053985202338711,100,0.6387006202557509,0.6000000000000001,30,43.898837416333016
172,_4x6d0bc1y,euclidean,misaligned,,,0.251188643150958,,,100,0.8641189888628629,0.4,30,43.50094394183037
173,_4x6d0bc1y,discrete,misaligned,,,0.0019952623149688,,,100,0.2875724012404066,1.4,30,51.79710685189817
174,_4ylr6o4c2,cycle_and_distribution,aligned,,,0.251188643150958,1.2256483198740225,0.0098173621465267,100,0.8538410690013288,0.3,30,31.342884344272303
175,_4ylr6o4c2,euclidean,aligned,,,0.0316227766016837,,,100,0.9894955671834292,0.5,30,42.77578434419269
176,_4ylr6o4c2,discrete,aligned,,,0.001,,,100,0.9604973460020018,1.1,30,53.45935616266701
177,_4zy4f2qky,cycle_and_distribution,misaligned,,,0.0316227766016837,1.2136411553240012,0.0092719372521254,100,0.8217175313481759,0.6000000000000001,30,47.14022290532668
178,_4zy4f2qky,euclidean,misaligned,,,0.251188643150958,,,100,0.1186843531164535,0.2,30,52.21804666193815
179,_4zy4f2qky,discrete,misaligned,,,0.001,,,100,0.0626784045129634,1.4,30,52.17564804858963
180,_548rjujxr,cycle_and_distribution,misaligned,,,0.0079432823472428,1.0262033050550206,0.0043987933039101,100,0.9814151331554865,1.0,30,52.50096470964032
